#{"t_start": 1590684110.992594, "env_id": "zhedLevel5-v0"}
r,l,t
-990,4,5.057089
-1020,7,5.062086
-1000,5,5.064085
-1020,9,5.069082
-1010,6,5.072081
-1010,4,5.075079
-980,5,5.078077
-1030,10,5.135045
-990,6,5.139043
-1030,10,5.146038
-1010,8,5.151036
-1110,14,5.158031
-1060,13,5.165028
-1090,12,5.171024
-1000,7,5.175022
-1020,5,5.17802
-1140,21,5.190013
-1100,13,5.19601
-1020,5,5.199008
-1060,9,5.204005
-1050,6,5.257974
-1010,4,5.259973
-980,5,5.263971
-1010,6,5.266969
-1080,15,5.277963
-1030,6,5.280961
-1000,5,5.283959
-1170,20,5.294953
-1060,11,5.300949
-990,4,5.302949
-1000,5,5.305947
-1000,5,5.308945
-970,4,5.311943
-1080,13,5.318938
-1080,13,5.326934
-1140,17,5.3869
-1200,27,5.406888
-1080,13,5.413884
-1070,10,5.419881
-1060,7,5.422879
-1050,10,5.429875
-990,4,5.431874
-1010,6,5.435871
-990,4,5.43887
-1010,6,5.441868
-990,4,5.443867
-1010,6,5.446865
-1030,10,5.452862
-1130,20,5.515826
-1010,4,5.517824
-1020,9,5.522821
-1060,11,5.528818
-1130,18,5.54181
-1050,6,5.544809
-1020,7,5.548806
-1080,11,5.553803
-1010,4,5.555802
-1090,14,5.563798
-1000,7,5.568795
-1060,7,5.572793
-980,5,5.575791
-1010,8,5.581788
-1020,9,5.587784
-1010,6,5.642753
-1150,20,5.654746
-1040,11,5.660742
-1000,5,5.663741
-1080,11,5.668738
-1050,8,5.672735
-1070,12,5.679731
-1090,12,5.686727
-990,4,5.688726
-1070,14,5.696722
-1010,4,5.69872
-990,6,5.702718
-1000,5,5.705717
-1030,8,5.710714
-980,5,5.765682
-1030,8,5.76968
-1030,8,5.774677
-1000,5,5.778675
-1000,5,5.781673
-1000,7,5.78567
-980,5,5.789668
-1010,4,5.791667
-1040,7,5.794665
-1040,9,5.799662
-990,6,5.804659
-1010,4,5.806658
-1030,8,5.811655
-980,5,5.814653
-1040,5,5.817652
-1050,12,5.824648
-990,4,5.826646
-1030,8,5.831644
-1010,8,5.835641
-980,5,5.838639
-1010,4,5.840638
-1000,7,5.896606
-1120,17,5.905601
-1040,9,5.910598
-1020,5,5.913596
-1040,7,5.916595
-1070,10,5.921592
-980,5,5.92559
-1040,7,5.928588
-1010,6,5.932586
-1090,14,5.94158
-1020,7,5.945578
-1050,10,5.951575
-1070,12,5.95957
-990,4,5.961569
-1010,8,5.966566
-980,5,6.021535
-1040,7,6.025532
-980,5,6.028531
-1020,7,6.032528
-1050,6,6.035527
-1130,20,6.04652
-990,6,6.050518
-1050,10,6.056515
-1140,17,6.06451
-1010,8,6.070506
-1020,7,6.075504
-1030,8,6.079501
-1070,12,6.086497
-980,5,6.090495
-1010,4,6.092494
-1030,8,6.149462
-1030,8,6.154458
-1040,7,6.158455
-1080,15,6.16845
-1010,8,6.174446
-1070,12,6.181442
-1030,8,6.18644
-1010,6,6.190438
-1190,26,6.207427
-1010,6,6.210426
-1040,7,6.214423
-1010,8,6.219421
-1000,5,6.222419
-990,4,6.224417
-990,6,6.280386
-1050,10,6.286382
-1030,6,6.28938
-1010,6,6.293378
-1020,7,6.297376
-1020,7,6.301374
-1010,6,6.304372
-1100,13,6.311368
-980,5,6.314366
-1080,15,6.323361
-1040,11,6.331357
-980,5,6.334355
-1010,6,6.337353
-1050,10,6.343349
-1020,5,6.346348
-1010,6,6.349346
-1050,8,6.405314
-990,6,6.409311
-1060,9,6.415308
-1050,10,6.420305
-1010,6,6.423303
-1010,6,6.427301
-1080,13,6.434297
-1020,5,6.437295
-1020,9,6.442292
-1010,8,6.448289
-1060,9,6.453286
-1030,8,6.457284
-1020,7,6.461281
-1030,8,6.466278
-990,4,6.468277
-1010,8,6.473275
-1000,7,6.478272
-1050,10,6.536238
-1060,9,6.541236
-1010,8,6.545233
-1020,7,6.549231
-1050,12,6.557226
-1030,6,6.560225
-1020,9,6.565222
-1040,11,6.571218
-1000,5,6.574217
-1010,8,6.579214
-1030,6,6.582212
-1020,5,6.58521
-1050,12,6.593205
-990,4,6.596204
-1050,12,6.601201
-1030,8,6.658168
-1020,5,6.661166
-990,6,6.665164
-980,5,6.668162
-1020,5,6.67116
-1010,6,6.674159
-1040,9,6.680155
-1020,5,6.683154
-1080,15,6.693148
-1050,10,6.700144
-990,4,6.702143
-1010,6,6.705141
-990,4,6.708139
-990,4,6.710138
-1110,12,6.717134
-1030,8,6.722131
-1010,6,6.726129
-990,6,6.730127
-1070,12,6.788093
-1130,18,6.800086
-1010,6,6.803084
-1060,13,6.81108
-1060,9,6.815078
-1040,9,6.821074
-980,5,6.824073
-1000,5,6.827071
-1190,22,6.838064
-1050,8,6.842062
-1070,10,6.848058
-1010,6,6.851057
-1060,11,6.859052
-1010,6,6.914021
-1050,12,6.921016
-1000,5,6.924015
-1020,9,6.931012
-980,5,6.93401
-1000,5,6.937008
-1020,9,6.942005
-1110,16,6.951999
-1110,16,6.960994
-1050,8,6.964992
-1020,7,6.96899
-1060,13,6.975986
-1020,5,6.977985
-1040,11,6.984981
-1010,6,7.040948
-1010,6,7.043946
-990,6,7.047944
-1090,12,7.05394
-1020,7,7.056938
-1040,9,7.063934
-1010,4,7.065933
-980,5,7.068932
-1030,8,7.072929
-1020,5,7.075928
-1010,4,7.077926
-1010,6,7.080925
-970,4,7.082923
