#{"t_start": 1590692262.788145, "env_id": "zhedLevel6-v0"}
r,l,t
-1030,6,8.441142
-990,6,8.49711
-1020,5,8.500108
-1130,16,8.509103
-1050,8,8.5131
-1090,12,8.521096
-1040,7,8.525094
-1070,14,8.53309
-1010,8,8.540085
-1030,6,8.543084
-1040,9,8.54908
-1000,5,8.552078
-1000,5,8.555076
-1020,7,8.561073
-1080,11,8.56707
-1020,7,8.571068
-1020,5,8.626035
-1100,15,8.636029
-1110,14,8.644025
-1090,14,8.65302
-1100,13,8.661015
-1030,8,8.667012
-1030,8,8.673009
-1040,9,8.679005
-1080,9,8.684002
-1030,8,8.687999
-1020,5,8.690998
-980,5,8.694996
-1140,17,8.702991
-1040,7,8.758959
-1010,4,8.761957
-1080,11,8.767954
-1060,9,8.772951
-1030,6,8.775949
-1030,6,8.778947
-1040,9,8.784944
-1090,12,8.792939
-1060,11,8.799935
-1010,6,8.803933
-1080,13,8.811929
-1070,10,8.817925
-990,4,8.820924
-1010,6,8.824921
-1010,6,8.827919
-1030,10,8.884887
-1040,9,8.891883
-1130,16,8.900877
-1050,8,8.905874
-1010,6,8.909873
-1050,8,8.914869
-1040,7,8.918867
-1050,8,8.922865
-1020,7,8.926862
-1060,11,8.933859
-1050,8,8.937856
-1120,15,8.946851
-1060,9,8.951848
-1000,5,8.955846
-1080,13,9.015812
-1050,10,9.021808
-990,4,9.024807
-1100,13,9.032801
-1090,12,9.038798
-1060,7,9.041796
-1030,8,9.046793
-1170,20,9.056787
-1060,11,9.064783
-1010,8,9.071779
-1060,9,9.075777
-1100,17,9.08777
-990,4,9.08977
-1060,9,9.148735
-1010,8,9.153732
-1030,8,9.158729
-1040,7,9.161727
-1010,6,9.164725
-1050,10,9.171721
-1000,5,9.174719
-1040,5,9.177718
-1040,7,9.181716
-990,4,9.183715
-1030,6,9.186713
-1020,7,9.19171
-1060,11,9.199705
-1040,5,9.202704
-1210,24,9.214697
-1130,16,9.274662
-1010,6,9.27966
-1020,7,9.283657
-1040,9,9.288655
-1010,4,9.291653
-1030,10,9.29665
-1030,6,9.300647
-1010,8,9.306644
-1080,11,9.312641
-1010,4,9.315639
-1120,15,9.323634
-1090,12,9.332629
-1000,5,9.335627
-1020,7,9.339625
-1060,9,9.345622
-1020,5,9.34862
-1060,7,9.404587
-1000,5,9.407586
-1020,5,9.410584
-1050,10,9.41658
-1010,4,9.418579
-1110,14,9.425575
-1090,10,9.430572
-990,4,9.43357
-1050,6,9.437568
-1150,18,9.448562
-1030,8,9.453559
-1000,5,9.456557
-1000,5,9.460555
-1060,9,9.464553
-1010,4,9.466551
-1030,6,9.470549
-1010,6,9.474547
-1070,8,9.530515
-1010,4,9.532514
-1030,4,9.534513
-1080,11,9.541509
-1040,7,9.544508
-1120,15,9.552502
-1000,5,9.555501
-1150,20,9.567494
-1050,6,9.570492
-1090,14,9.580486
-1040,9,9.585483
-1030,6,9.589481
-1030,6,9.594479
-1090,12,9.602474
-1150,20,9.666437
-1030,8,9.671434
-1030,4,9.673434
-1090,12,9.680429
-1000,5,9.683427
-1060,13,9.693421
-990,4,9.696419
-1010,4,9.698418
-1000,5,9.701416
-1010,4,9.703416
-1120,15,9.710412
-1030,8,9.716408
-1080,13,9.723404
-1040,9,9.728401
-1100,11,9.787367
-1040,9,9.793364
-1000,5,9.797362
-1070,10,9.802358
-1110,14,9.810354
-1060,9,9.815351
-1070,12,9.823347
-1010,4,9.825346
-1100,11,9.831342
-1080,11,9.838338
-1020,7,9.842336
-1010,4,9.844334
-1020,7,9.848332
-1010,6,9.85333
-1020,7,9.857327
-1140,15,9.919291
-1050,8,9.924288
-1040,9,9.930285
-1020,9,9.936281
-1160,19,9.946275
-1000,5,9.950273
-1010,4,9.952272
-1050,6,9.95527
-1020,7,9.959268
-1020,5,9.962266
-1050,8,9.966264
-1030,8,9.97226
-990,4,9.975259
-1060,11,9.980256
-1060,7,9.984254
-1120,17,10.047218
-970,4,10.050216
-1060,11,10.058211
-1100,13,10.067206
-1010,8,10.072203
-990,4,10.074208
-1010,6,10.0782
-1050,10,10.086195
-1050,10,10.092192
-1030,8,10.097189
-1040,9,10.103186
-1090,12,10.109182
-1010,4,10.111181
-1050,10,10.118177
-1020,7,10.123174
-1020,7,10.127172
-1070,12,10.187137
-990,4,10.190135
-1000,5,10.193134
-1000,5,10.196131
-990,4,10.198131
-1060,11,10.207126
-1000,5,10.210124
-990,6,10.215122
-1050,12,10.222117
-1200,25,10.239108
-1030,4,10.241107
-1080,11,10.248102
-1210,28,10.315063
-1060,7,10.319061
-1210,26,10.335052
-1000,7,10.340049
-1050,10,10.345046
-1020,5,10.348044
-1040,7,10.353041
-1020,7,10.357039
-1010,6,10.361037
-1010,6,10.364035
-1000,5,10.368033
-1010,6,10.372031
-1120,15,10.381026
-1000,5,10.383024
-1070,10,10.39002
-1040,7,10.445988
-1020,5,10.449986
-1090,12,10.454983
-1060,7,10.45898
-1030,6,10.462979
-1110,18,10.472973
-1030,10,10.478969
-1040,7,10.482967
-1010,6,10.485965
-1010,6,10.489963
-1020,5,10.491962
-1060,9,10.498958
-1150,20,10.508952
-1050,10,10.514948
-1050,10,10.573914
-990,6,10.576912
-1050,8,10.58191
-1150,20,10.593903
-1080,9,10.5989
-1000,7,10.603897
-1000,5,10.606895
-1010,6,10.610893
-1040,7,10.61589
-1140,17,10.624885
-980,5,10.628882
-1050,6,10.631881
-1000,7,10.635879
-1050,12,10.645873
-1020,5,10.648871
-1080,9,10.705839
-1100,13,10.712835
-990,6,10.716832
-1040,9,10.722829
-1030,6,10.725827
-1010,6,10.729825
-1080,11,10.736821
-1040,9,10.742818
-1050,6,10.746816
-1000,5,10.749813
-990,6,10.753811
-1020,7,10.758809
-990,4,10.760808
-990,4,10.763805
